period,position,final_seniority,final_salary,frequency
2017_H2,Data Scientist / Data Analyst,0.25,200 nan nan,1
2017_H2,Data Scientist / Data Analyst,меньше 3 месяцев,500 nan nan,1
2017_H2,Data Scientist / Data Analyst,0.25,1500 nan nan,1
2017_H2,Data Scientist / Data Analyst,0.5,400 nan nan,1
2017_H2,Data Scientist / Data Analyst,0.25,600 nan nan,1
2017_H2,Data Scientist / Data Analyst,1,1200 nan nan,1
2017_H2,Data Scientist / Data Analyst,меньше 3 месяцев,300 nan nan,1
2017_H2,Data Scientist / Data Analyst,0.25,550 nan nan,1
2017_H2,Data Scientist / Data Analyst,0.5,700 nan nan,1
2017_H2,Data Scientist / Data Analyst,меньше 3 месяцев,2000 nan nan,1
2017_H2,Data Scientist / Data Analyst,3,1600 nan nan,1
2017_H2,Data Scientist / Data Analyst,2,4100 nan nan,1
2017_H2,Data Scientist / Data Analyst,0.5,1500 nan nan,1
2017_H2,Data Scientist / Data Analyst,1.5,930 nan nan,1
2017_H2,Data Scientist / Data Analyst,2,622 nan nan,1
2017_H2,Data Scientist / Data Analyst,5,2350 nan nan,1
2017_H2,Data Scientist / Data Analyst,0.5,800 nan nan,1
2017_H2,Data Scientist / Data Analyst,1,4750 nan nan,1
2017_H2,Data Scientist / Data Analyst,0.25,1900 nan nan,1
2017_H2,Data Scientist / Data Analyst,0.25,1500 nan nan,1
2017_H2,Data Scientist / Data Analyst,1,800 nan nan,1
2017_H2,Data Scientist / Data Analyst,0.5,380 nan nan,1
2017_H2,Data Scientist / Data Analyst,меньше 3 месяцев,3500 nan nan,1
2017_H2,Data Scientist / Data Analyst,0.5,250 nan nan,1
2017_H2,Data Scientist / Data Analyst,меньше 3 месяцев,500 nan nan,1
2017_H2,Data Scientist / Data Analyst,2,1500 nan nan,1
2017_H2,Data Scientist / Data Analyst,0.25,650 nan nan,1
2017_H2,Data Scientist / Data Analyst,меньше 3 месяцев,4200 nan nan,1
2017_H2,Data Scientist / Data Analyst,0.5,4500 nan nan,1
2017_H2,Data Scientist / Data Analyst,0.5,2000 nan nan,1
2017_H2,Data Scientist / Data Analyst,1.5,2500 nan nan,1
2017_H2,Data Scientist / Data Analyst,0.5,2400 nan nan,1
2017_H2,Data Scientist / Data Analyst,0.5,1300 nan nan,1
2017_H2,Data Scientist / Data Analyst,0.25,4725 nan nan,1
2017_H2,Data Scientist / Data Analyst,0.5,250 nan nan,1
2017_H2,Data Scientist / Data Analyst,меньше 3 месяцев,300 nan nan,1
2017_H2,Data Scientist / Data Analyst,0.25,625 nan nan,1
2017_H2,Data Scientist / Data Analyst,3,2800 nan nan,1
2017_H2,Data Scientist / Data Analyst,0.25,300 nan nan,1
2017_H2,Data Scientist / Data Analyst,1.5,3300 nan nan,1
2017_H2,Data Scientist / Data Analyst,3,1300 nan nan,1
2017_H2,Data Scientist / Data Analyst,0.5,1000 nan nan,1
2017_H2,Data Scientist / Data Analyst,меньше 3 месяцев,1700 nan nan,1
2017_H2,Data Scientist / Data Analyst,0.5,400 nan nan,1
2017_H2,Data Scientist / Data Analyst,1,750 nan nan,1
2017_H2,Data Scientist / Data Analyst,1,1500 nan nan,1
2017_H2,Data Scientist / Data Analyst,меньше 3 месяцев,320 nan nan,1
2017_H2,Data Scientist / Data Analyst,1,250 nan nan,1
2017_H2,Data Scientist / Data Analyst,меньше 3 месяцев,1000 nan nan,1
2017_H2,Data Scientist / Data Analyst,меньше 3 месяцев,4500 nan nan,1
2017_H2,Data Scientist / Data Analyst,0.5,1200 nan nan,1
2017_H2,Data Scientist / Data Analyst,1,2300 nan nan,1
2017_H2,Data Scientist / Data Analyst,0.25,900 nan nan,1
2017_H2,Data Scientist / Data Analyst,1.5,3400 nan nan,1
2017_H2,Data Scientist / Data Analyst,3,850 nan nan,1
2017_H2,Data Scientist / Data Analyst,0.25,1970 nan nan,1
2017_H2,Data Scientist / Data Analyst,0.5,1900 nan nan,1
2017_H2,Data Scientist / Data Analyst,меньше 3 месяцев,260 nan nan,1
2017_H2,Data Scientist / Data Analyst,меньше 3 месяцев,475 nan nan,1
2017_H2,Data Scientist / Data Analyst,меньше 3 месяцев,650 nan nan,1
2017_H2,Data Scientist / Data Analyst,меньше 3 месяцев,400 nan nan,1
2017_H2,Data Scientist / Data Analyst,1,1150 nan nan,1
2017_H2,Data Scientist / Data Analyst,меньше 3 месяцев,400 nan nan,1
2017_H2,Data Scientist / Data Analyst,меньше 3 месяцев,4000 nan nan,1
2017_H2,Data Scientist / Data Analyst,меньше 3 месяцев,400 nan nan,1
2017_H2,Data Scientist / Data Analyst,0.5,1200 nan nan,1
2017_H2,Data Scientist / Data Analyst,1,900 nan nan,1
2017_H2,Data Scientist / Data Analyst,2,2000 nan nan,1
2017_H2,Data Scientist / Data Analyst,1.5,380 nan nan,1
2017_H2,Data Scientist / Data Analyst,0.25,2000 nan nan,1
2017_H2,Data Scientist / Data Analyst,меньше 3 месяцев,2250 nan nan,1
2017_H2,Data Scientist / Data Analyst,1,770 nan nan,1
2017_H2,Data Scientist / Data Analyst,1.5,1200 nan nan,1
